,Risk communication,Only one case (base case),Absolute risk (base case),Absolute risk (new case),Absolute number (base case),Absolute number (new case),Absolute risk difference,Relative risk difference,Absolute number difference,Verbal risk descriptor (base case),Verbal risk descriptor (new situation),Verbal risk descriptor (change from base to new),Population Size,Reference class size (base case: absolute number),Reference class size (new case: absolute number),Reference class description (base case),Reference class description (new case),Source (base case),Source (new situation),Topic and unit
"Recent studies using nationwide canine serologic testing found a substantial rise in environmental exposure. The number of U.S. counties with seropositive dogs increased from 64 in 2010 to 331 in 2022, representing a nearly quintupled.",1,0,,,64,331,,5x,,,,,,,,US counties with seropositive dogs in 2010,US counties with seropositive dogs in 2022,,,Number of US counties with canine serologic evidence of Coccidioides
"Recent studies using nationwide canine serologic testing found a substantial rise in environmental exposure. The number of U.S. counties with seropositive dogs increased from 70 in 2013 to 356 in 2024, representing a a large-scale increase.",1,0,,,70,356,,,,,,,,,,US counties with seropositive dogs in 2013,US counties with seropositive dogs in 2024,,,Number of US counties with canine serologic evidence of Coccidioides
"Recent studies using nationwide canine serologic testing found a substantial rise in environmental exposure. The number of U.S. counties with seropositive dogs increased from 85 in 2011 to 410 in 2023, representing a over five-fold growth.",1,0,,,85,410,,5x,,,,,,,,US counties with seropositive dogs in 2011,US counties with seropositive dogs in 2023,,,Number of US counties with canine serologic evidence of Coccidioides
"Recent studies using nationwide canine serologic testing found a substantial rise in environmental exposure. The number of U.S. counties with seropositive dogs increased from 68 in 2014 to 366 in 2025, representing a marked expansion.",1,0,,,68,366,,,,,,,,,,US counties with seropositive dogs in 2014,US counties with seropositive dogs in 2025,,,Number of US counties with canine serologic evidence of Coccidioides
"Among the 2,447 individuals reporting no previous infection, 36 (1.5%) received one dose, 1303 (53.2%) received two doses, 647 (26.4%) received three doses, and the rest were unvaccinated (18.8%).",0,,,,,,,,,,,,,,,,,,,
"Among the 2,447 individuals reporting no previous infection, 47 (1.9%) received one dose, 1081 (44.2%) received two doses, 814 (33.3%) received three doses, and the rest were unvaccinated (20.6%).",0,,,,,,,,,,,,,,,,,,,
"Among the 2,447 individuals reporting no previous infection, 12 (0.5%) received one dose, 1030 (42.1%) received two doses, 759 (31.0%) received three doses, and the rest were unvaccinated (26.4%).",0,,,,,,,,,,,,,,,,,,,
"Among the 2,447 individuals reporting no previous infection, 12 (0.5%) received one dose, 1126 (46.0%) received two doses, 750 (30.6%) received three doses, and the rest were unvaccinated (22.8%).",0,,,,,,,,,,,,,,,,,,,
"Among the 2,447 individuals reporting no previous infection, 13 (0.5%) received one dose, 1307 (53.4%) received two doses, 723 (29.5%) received three doses, and the rest were unvaccinated (16.5%).",0,,,,,,,,,,,,,,,,,,,
"Among the 2,447 individuals reporting no previous infection, 47 (1.9%) received one dose, 1304 (53.3%) received two doses, 693 (28.3%) received three doses, and the rest were unvaccinated (16.5%).",0,,,,,,,,,,,,,,,,,,,
"Among the 2,447 individuals reporting no previous infection, 14 (0.6%) received one dose, 1227 (50.1%) received two doses, 844 (34.5%) received three doses, and the rest were unvaccinated (14.8%).",0,,,,,,,,,,,,,,,,,,,
"Among the 2,447 individuals reporting no previous infection, 16 (0.7%) received one dose, 1359 (55.5%) received two doses, 806 (32.9%) received three doses, and the rest were unvaccinated (10.9%).",0,,,,,,,,,,,,,,,,,,,
"Among the 2,447 individuals reporting no previous infection, 44 (1.8%) received one dose, 1009 (41.2%) received two doses, 602 (24.6%) received three doses, and the rest were unvaccinated (32.4%).",0,,,,,,,,,,,,,,,,,,,
"Among the 2,447 individuals reporting no previous infection, 17 (0.7%) received one dose, 1054 (43.1%) received two doses, 629 (25.7%) received three doses, and the rest were unvaccinated (30.5%).",0,,,,,,,,,,,,,,,,,,,
A National Bureau of Economic Research analysis found full-time employment among workers with chronic conditions rose by 8% on average – and by as much as 33% in administrative roles – after remote work became more common.,0,,,,,,,,,,,,,,,,,,,
A National Bureau of Economic Research analysis found full-time employment among employees with mobility limitations rose by 11% on average – and by as much as 42% in technical support positions – after remote work became more common.,0,,,,,,,,,,,,,,,,,,,
A National Bureau of Economic Research analysis found full-time employment among neurodivergent individuals rose by 13% on average – and by as much as 39% in remote consulting – after remote work became more common.,0,,,,,,,,,,,,,,,,,,,
A National Bureau of Economic Research analysis found full-time employment among caregivers for elderly relatives rose by 9% on average – and by as much as 30% in IT support roles – after remote work became more common.,0,,,,,,,,,,,,,,,,,,,
A National Bureau of Economic Research analysis found full-time employment among veterans returning to civilian work rose by 10% on average – and by as much as 45% in data entry jobs – after remote work became more common.,0,,,,,,,,,,,,,,,,,,,
A National Bureau of Economic Research analysis found full-time employment among single parents rose by 12% on average – and by as much as 41% in content moderation – after remote work became more common.,0,,,,,,,,,,,,,,,,,,,
A National Bureau of Economic Research analysis found full-time employment among individuals with vision impairments rose by 14% on average – and by as much as 38% in virtual customer service – after remote work became more common.,0,,,,,,,,,,,,,,,,,,,
A National Bureau of Economic Research analysis found full-time employment among people recovering from long COVID rose by 11% on average – and by as much as 37% in graphic design – after remote work became more common.,0,,,,,,,,,,,,,,,,,,,
A National Bureau of Economic Research analysis found full-time employment among people with mental health challenges rose by 13% on average – and by as much as 44% in software development – after remote work became more common.,0,,,,,,,,,,,,,,,,,,,
A National Bureau of Economic Research analysis found full-time employment among hearing-impaired workers rose by 10% on average – and by as much as 40% in project coordination – after remote work became more common.,0,,,,,,,,,,,,,,,,,,,
